acc_avg_test,acc_wg_test,acc_avg_val,acc_wg_val,acc_avg_idval,acc_wg_idval,epoch,step,acc_avg_train,acc_wg_train,group_0,group_1,group_2,group_3,group_4
0.7888282537460327,0.6220898628234863,0.8233153820037842,0.5414261817932129,0.9234505295753479,0.7322720885276794,0,1180,,,,,,,
,,,,,,0,1180,0.8209244012832642,0.6745867729187012,0.3864137828350067,0.0,0.0,0.29072532057762146,0.32286083698272705
0.5862040519714355,0.3973273038864136,0.7949232459068298,0.4049525260925293,0.8474672436714172,0.4973175823688507,1,2361,,,,,,,
,,,,,,1,2361,0.8678721785545349,0.744389533996582,0.46076497435569763,0.0,0.0,0.24235771596431732,0.29687729477882385
0.7977873086929321,0.6020573973655701,0.8491004109382629,0.6399180889129639,0.9419547319412231,0.7930535674095154,2,3542,,,,,,,
,,,,,,2,3542,0.8792568445205688,0.7729489207267761,0.4991079568862915,0.0,0.0,0.21967513859272003,0.28121688961982727
0.7158393263816833,0.5279878973960876,0.8499885201454163,0.6240923404693604,0.9552741646766663,0.8299492597579956,3,4723,,,,,,,
,,,,,,3,4723,0.8878995776176453,0.7756913900375366,0.5119461417198181,0.0,0.0,0.21510402858257294,0.27294984459877014
0.6190184950828552,0.42284417152404785,0.8334001898765564,0.5416123867034912,0.9294100403785706,0.6324167847633362,4,5904,,,,,,,
,,,,,,4,5904,0.893433153629303,0.7979173064231873,0.5238330960273743,0.0,0.0,0.202879399061203,0.27328741550445557
0.5467467904090881,0.4062027335166931,0.8433703780174255,0.5833178162574768,0.9294695854187012,0.6222865581512451,5,7085,,,,,,,
,,,,,,5,7085,0.8978652954101562,0.7980394959449768,0.5177707076072693,0.0,0.0,0.19920748472213745,0.28302180767059326
0.6205586791038513,0.42738276720046997,0.8608755469322205,0.6605846285820007,0.9280691146850586,0.6072961091995239,6,8266,,,,,,,
,,,,,,6,8266,0.902079164981842,0.8046067357063293,0.5129745006561279,0.0,0.0,0.2027851641178131,0.2842402160167694
0.6410868167877197,0.4481845796108246,0.8877779245376587,0.74883633852005,0.9445768594741821,0.803648054599762,7,9447,,,,,,,
,,,,,,7,9447,0.9051717519760132,0.8016592264175415,0.5228703022003174,0.0,0.0,0.20353932678699493,0.2735903263092041
0.5346956253051758,0.3022460639476776,0.8489857912063599,0.5956060290336609,0.8362336158752441,0.5642299652099609,8,10628,,,,,,,
,,,,,,8,10628,0.906150758266449,0.8184186220169067,0.5181876420974731,0.0,0.0,0.20745809376239777,0.2743542194366455
0.6197004318237305,0.42795008420944214,0.8870903253555298,0.7599536180496216,0.9603396654129028,0.8574610352516174,9,11809,,,,,,,
