train_loss,train_acc,epoch,step,test_loss,test_acc
2.1190004348754883,0.2578125,0,49,,
2.0420193672180176,0.28125,0,99,,
1.95842444896698,0.328125,0,149,,
,,0,195,1.7830357551574707,0.3991999924182892
1.9301574230194092,0.37109375,1,199,,
1.913191556930542,0.3828125,1,249,,
1.8987150192260742,0.390625,1,299,,
1.9352154731750488,0.328125,1,349,,
,,1,391,1.6244077682495117,0.47040000557899475
1.805531620979309,0.41796875,2,399,,
1.8451594114303589,0.41796875,2,449,,
1.799340009689331,0.40234375,2,499,,
1.724843144416809,0.453125,2,549,,
,,2,587,1.5331155061721802,0.5115000009536743
1.8281023502349854,0.40625,3,599,,
1.8011032342910767,0.41796875,3,649,,
1.7980722188949585,0.43359375,3,699,,
1.7335923910140991,0.44140625,3,749,,
,,3,783,1.469881296157837,0.527899980545044
1.8435183763504028,0.453125,4,799,,
1.734338641166687,0.484375,4,849,,
1.8331871032714844,0.421875,4,899,,
1.6769074201583862,0.48828125,4,949,,
,,4,979,1.422137975692749,0.5486999750137329
1.6640832424163818,0.4765625,5,999,,
1.766865611076355,0.4296875,5,1049,,
1.6556206941604614,0.5,5,1099,,
1.765473484992981,0.41796875,5,1149,,
,,5,1175,1.3856178522109985,0.5618000030517578
1.6105958223342896,0.484375,6,1199,,
1.584786057472229,0.51171875,6,1249,,
1.5603854656219482,0.50390625,6,1299,,
1.6419618129730225,0.45703125,6,1349,,
,,6,1371,1.357067584991455,0.5737000107765198
1.6201601028442383,0.52734375,7,1399,,
1.740647554397583,0.46875,7,1449,,
1.5989826917648315,0.515625,7,1499,,
1.629205584526062,0.48046875,7,1549,,
,,7,1567,1.3394148349761963,0.5799999833106995
1.5199466943740845,0.5546875,8,1599,,
1.5887610912322998,0.49609375,8,1649,,
1.5684620141983032,0.55078125,8,1699,,
1.6436190605163574,0.47265625,8,1749,,
,,8,1763,1.3142297267913818,0.5935999751091003
1.5968642234802246,0.55859375,9,1799,,
1.5115044116973877,0.53515625,9,1849,,
1.4857392311096191,0.578125,9,1899,,
1.6089518070220947,0.49609375,9,1949,,
,,9,1959,1.2900530099868774,0.598800003528595
1.5916216373443604,0.53125,10,1999,,
1.517643690109253,0.55859375,10,2049,,
1.5122376680374146,0.55078125,10,2099,,
1.5487453937530518,0.54296875,10,2149,,
,,10,2155,1.284194827079773,0.6035000085830688
1.5992766618728638,0.52734375,11,2199,,
1.6504621505737305,0.53515625,11,2249,,
1.5422682762145996,0.51953125,11,2299,,
1.4131709337234497,0.60546875,11,2349,,
,,11,2351,1.27070152759552,0.6104999780654907
1.5356003046035767,0.54296875,12,2399,,
1.552071213722229,0.51953125,12,2449,,
1.5396071672439575,0.54296875,12,2499,,
,,12,2547,1.2460241317749023,0.618399977684021
1.6816599369049072,0.49609375,13,2549,,
1.51473069190979,0.546875,13,2599,,
1.541358470916748,0.55078125,13,2649,,
1.4805699586868286,0.56640625,13,2699,,
,,13,2743,1.232041835784912,0.6216999888420105
1.5049121379852295,0.55859375,14,2749,,
1.6474899053573608,0.4921875,14,2799,,
1.5510023832321167,0.5,14,2849,,
1.4215747117996216,0.63671875,14,2899,,
,,14,2939,1.234542965888977,0.6212999820709229
1.627687931060791,0.53515625,15,2949,,
1.5185188055038452,0.52734375,15,2999,,
1.5164567232131958,0.5703125,15,3049,,
1.486589789390564,0.5546875,15,3099,,
,,15,3135,1.220925211906433,0.6252999901771545
1.3714911937713623,0.56640625,16,3149,,
1.4352303743362427,0.58203125,16,3199,,
1.4078307151794434,0.57421875,16,3249,,
1.517708659172058,0.55078125,16,3299,,
,,16,3331,1.2021806240081787,0.6287999749183655
1.435828685760498,0.6015625,17,3349,,
1.4500887393951416,0.58984375,17,3399,,
1.4520814418792725,0.58203125,17,3449,,
1.4340883493423462,0.6171875,17,3499,,
,,17,3527,1.2127920389175415,0.6306999921798706
1.3706879615783691,0.609375,18,3549,,
1.4669044017791748,0.59765625,18,3599,,
1.398869514465332,0.61328125,18,3649,,
1.5026038885116577,0.53515625,18,3699,,
,,18,3723,1.1895231008529663,0.6352999806404114
1.387049674987793,0.60546875,19,3749,,
1.2975740432739258,0.671875,19,3799,,
1.3842284679412842,0.6015625,19,3849,,
1.3489090204238892,0.625,19,3899,,
,,19,3919,1.194333553314209,0.6308000087738037
1.3949867486953735,0.59765625,20,3949,,
1.3846484422683716,0.6328125,20,3999,,
1.4097684621810913,0.6015625,20,4049,,
1.4539246559143066,0.5546875,20,4099,,
,,20,4115,1.176965594291687,0.6402999758720398
1.323560357093811,0.62890625,21,4149,,
1.4383070468902588,0.58984375,21,4199,,
1.2872185707092285,0.6640625,21,4249,,
1.4543671607971191,0.55859375,21,4299,,
,,21,4311,1.165334939956665,0.6388999819755554
1.420884370803833,0.58203125,22,4349,,
1.4274747371673584,0.5703125,22,4399,,
1.280206561088562,0.625,22,4449,,
1.3589606285095215,0.60546875,22,4499,,
,,22,4507,1.169647455215454,0.640999972820282
1.3846979141235352,0.6015625,23,4549,,
1.3287371397018433,0.61328125,23,4599,,
1.2022793292999268,0.66015625,23,4649,,
1.3831055164337158,0.59765625,23,4699,,
,,23,4703,1.1793153285980225,0.6347000002861023
1.353842854499817,0.61328125,24,4749,,
1.2641894817352295,0.62109375,24,4799,,
1.4101722240447998,0.58203125,24,4849,,
1.3318066596984863,0.612500011920929,24,4899,,
,,24,4899,1.1639949083328247,0.6381999850273132
1.2716641426086426,0.6640625,25,4949,,
1.3469922542572021,0.61328125,25,4999,,
1.4245688915252686,0.57421875,25,5049,,
,,25,5095,1.1537888050079346,0.6409000158309937
1.2864733934402466,0.66015625,26,5099,,
1.2960975170135498,0.61328125,26,5149,,
1.3913557529449463,0.59765625,26,5199,,
1.3063244819641113,0.66796875,26,5249,,
,,26,5291,1.1610770225524902,0.6377999782562256
1.3276482820510864,0.625,27,5299,,
1.407191514968872,0.57421875,27,5349,,
1.4147908687591553,0.58203125,27,5399,,
1.2180662155151367,0.66015625,27,5449,,
,,27,5487,1.1579822301864624,0.6365000009536743
1.4559205770492554,0.56640625,28,5499,,
1.3036432266235352,0.60546875,28,5549,,
1.394168496131897,0.59375,28,5599,,
1.4719222784042358,0.5546875,28,5649,,
,,28,5683,1.1444942951202393,0.6383000016212463
1.1779813766479492,0.66796875,29,5699,,
1.2476367950439453,0.62890625,29,5749,,
1.3253803253173828,0.6328125,29,5799,,
1.2578235864639282,0.625,29,5849,,
,,29,5879,1.1484626531600952,0.6449000239372253
1.27110755443573,0.66015625,30,5899,,
1.2398511171340942,0.67578125,30,5949,,
1.4191951751708984,0.62109375,30,5999,,
1.329072117805481,0.60546875,30,6049,,
,,30,6075,1.1537408828735352,0.6392999887466431
1.331583023071289,0.61328125,31,6099,,
1.2798445224761963,0.64453125,31,6149,,
1.299710988998413,0.625,31,6199,,
1.222954273223877,0.6328125,31,6249,,
,,31,6271,1.145668864250183,0.6396999955177307
1.2427328824996948,0.6484375,32,6299,,
1.253429651260376,0.66015625,32,6349,,
1.1781911849975586,0.65625,32,6399,,
1.2905125617980957,0.6171875,32,6449,,
,,32,6467,1.1331006288528442,0.6488000154495239
1.179818034172058,0.66015625,33,6499,,
1.2297265529632568,0.6796875,33,6549,,
1.252929925918579,0.6328125,33,6599,,
1.1517432928085327,0.7109375,33,6649,,
,,33,6663,1.1502963304519653,0.635699987411499
1.2116336822509766,0.6484375,34,6699,,
1.3848659992218018,0.61328125,34,6749,,
1.2285867929458618,0.65625,34,6799,,
1.1857342720031738,0.70703125,34,6849,,
,,34,6859,1.1352367401123047,0.6414999961853027
1.1476526260375977,0.69921875,35,6899,,
1.2235255241394043,0.6640625,35,6949,,
1.2443668842315674,0.640625,35,6999,,
1.151584267616272,0.65625,35,7049,,
,,35,7055,1.144155502319336,0.638700008392334
1.3957178592681885,0.60546875,36,7099,,
1.2630994319915771,0.6328125,36,7149,,
1.1507604122161865,0.64453125,36,7199,,
1.2180460691452026,0.65234375,36,7249,,
,,36,7251,1.1259855031967163,0.6486999988555908
1.1305289268493652,0.6875,37,7299,,
1.1567680835723877,0.6953125,37,7349,,
1.2059695720672607,0.6796875,37,7399,,
,,37,7447,1.1403173208236694,0.6445000171661377
1.2544161081314087,0.625,38,7449,,
1.2008445262908936,0.65625,38,7499,,
1.3002207279205322,0.62890625,38,7549,,
1.2055914402008057,0.640625,38,7599,,
,,38,7643,1.1480762958526611,0.6407999992370605
1.22493314743042,0.66796875,39,7649,,
1.2481529712677002,0.65625,39,7699,,
1.2247533798217773,0.65234375,39,7749,,
1.2719135284423828,0.6484375,39,7799,,
,,39,7839,1.1333614587783813,0.6449999809265137
1.1372007131576538,0.68359375,40,7849,,
1.2135210037231445,0.6796875,40,7899,,
1.2270952463150024,0.64453125,40,7949,,
1.1498582363128662,0.67578125,40,7999,,
,,40,8035,1.1451988220214844,0.6409000158309937
1.2636533975601196,0.65234375,41,8049,,
1.1532976627349854,0.703125,41,8099,,
1.1114813089370728,0.6875,41,8149,,
1.2472195625305176,0.6328125,41,8199,,
,,41,8231,1.1386781930923462,0.6409000158309937
1.1113251447677612,0.69140625,42,8249,,
1.1654376983642578,0.69140625,42,8299,,
1.1536179780960083,0.65625,42,8349,,
1.312785267829895,0.640625,42,8399,,
,,42,8427,1.1404739618301392,0.6388999819755554
1.09750497341156,0.69921875,43,8449,,
1.1660902500152588,0.703125,43,8499,,
1.0460792779922485,0.71484375,43,8549,,
1.1619852781295776,0.703125,43,8599,,
,,43,8623,1.1404359340667725,0.6344000101089478
1.165650486946106,0.671875,44,8649,,
1.2243342399597168,0.64453125,44,8699,,
1.1550432443618774,0.66796875,44,8749,,
1.1182810068130493,0.6796875,44,8799,,
,,44,8819,1.1381919384002686,0.6353999972343445
1.1882227659225464,0.66796875,45,8849,,
1.3010748624801636,0.625,45,8899,,
1.1093775033950806,0.66015625,45,8949,,
1.1736137866973877,0.66015625,45,8999,,
,,45,9015,1.1358486413955688,0.6402000188827515
1.0441856384277344,0.69921875,46,9049,,
1.1987725496292114,0.671875,46,9099,,
1.170947551727295,0.64453125,46,9149,,
1.2392064332962036,0.6484375,46,9199,,
,,46,9211,1.1445201635360718,0.6373000144958496
1.2460230588912964,0.609375,47,9249,,
