acc_avg_test,acc_wg_test,acc_avg_val,acc_wg_val,acc_avg_idval,acc_wg_idval,epoch,step,acc_avg_train,acc_wg_train,group_0,group_1,group_2,group_3,group_4
0.6519505381584167,0.46248626708984375,0.8253781795501709,0.5161049962043762,0.9573003649711609,0.8307349681854248,0,1180,,,,,,,
,,,,,,0,1180,0.8587167859077454,0.7479616403579712,0.39666426181793213,0.0,0.0,0.28051209449768066,0.32282355427742004
0.8038422465324402,0.6440904140472412,0.8552888035774231,0.6777136325836182,0.9551251530647278,0.8205499053001404,1,2361,,,,,,,
,,,,,,1,2361,0.8974022269248962,0.7953816652297974,0.40178707242012024,0.0,0.0,0.2789139449596405,0.3192989230155945
0.7439156174659729,0.5545440316200256,0.8365803360939026,0.6021224856376648,0.959058403968811,0.7973950505256653,2,3542,,,,,,,
,,,,,,2,3542,0.9094947576522827,0.8054850697517395,0.4023481607437134,0.0,0.0,0.27313730120658875,0.3245145082473755
0.7526159882545471,0.5521895885467529,0.8397604823112488,0.758650541305542,0.954469621181488,0.8288626670837402,3,4723,,,,,,,
,,,,,,3,4723,0.9188055396080017,0.8251013159751892,0.42637011408805847,0.0,0.0,0.27723851799964905,0.29639139771461487
0.6765466928482056,0.48446083068847656,0.8407632112503052,0.775086522102356,0.9709475636482239,0.893401026725769,4,5904,,,,,,,
,,,,,,4,5904,0.9243325591087341,0.8307968974113464,0.4103222191333771,0.0,0.0,0.281374990940094,0.30830276012420654
0.7296658754348755,0.5164809226989746,0.8553460836410522,0.7008005976676941,0.960518479347229,0.8480463027954102,5,7085,,,,,,,
,,,,,,5,7085,0.9290458559989929,0.8542785048484802,0.4140796661376953,0.0,0.0,0.28722041845321655,0.29869988560676575
0.5791379809379578,0.4486793279647827,0.8708744049072266,0.6967045068740845,0.9688617587089539,0.8819599151611328,6,8266,,,,,,,
,,,,,,6,8266,0.9336764216423035,0.8535115122795105,0.3899775445461273,0.0,0.0,0.30958518385887146,0.30043724179267883
0.5160604119300842,0.24211055040359497,0.8946539163589478,0.7758556008338928,0.9476162195205688,0.842979371547699,7,9447,,,,,,,
,,,,,,7,9447,0.9377480745315552,0.8665281534194946,0.38487690687179565,0.0,0.0,0.3145860433578491,0.3005370795726776
0.5428668856620789,0.3011167645454407,0.8198201060295105,0.5330478549003601,0.9129916429519653,0.7575910091400146,8,10628,,,,,,,
,,,,,,8,10628,0.9399476051330566,0.8755434155464172,0.38214683532714844,0.0,0.0,0.31361624598503113,0.30423688888549805
0.613092839717865,0.45896369218826294,0.884253978729248,0.7653253078460693,0.9786055088043213,0.9340101480484009,9,11809,,,,,,,
,,,,,,9,11809,0.9433478116989136,0.8839585185050964,0.3774738311767578,0.0,0.0,0.320332407951355,0.3021937906742096
0.578514814376831,0.4363197088241577,0.9004412293434143,0.7980443835258484,0.9806317090988159,0.9354120492935181,10,12990,,,,,,,
,,,,,,10,12990,0.9449354410171509,0.8736761212348938,0.3825763165950775,0.0,0.0,0.3287193775177002,0.2887042760848999
0.6229689121246338,0.4631240665912628,0.8934506177902222,0.8455245494842529,0.9769070148468018,0.9238578677177429,11,14171,,,,,,,
,,,,,,11,14171,0.9470158815383911,0.8809940814971924,0.36536237597465515,0.0,0.0,0.3417551517486572,0.2928825318813324
0.5758694410324097,0.386536180973053,0.8592424988746643,0.6961459517478943,0.956048846244812,0.8186695575714111,12,15352,,,,,,,
,,,,,,12,15352,0.9495693445205688,0.8929581642150879,0.35628727078437805,0.0,0.0,0.3515940308570862,0.29211869835853577
0.6331389546394348,0.4471040666103363,0.8869470357894897,0.7656400203704834,0.9658820033073425,0.8480463027954102,13,16533,,,,,,,
,,,,,,13,16533,0.9509684443473816,0.8943684101104736,0.3551087975502014,0.0,0.0,0.3635612428188324,0.2813299298286438
0.6627318859100342,0.47394442558288574,0.8944247364997864,0.8157202005386353,0.9779797196388245,0.885672926902771,14,17714,,,,,,,
,,,,,,14,17714,0.9527148604393005,0.8974317908287048,0.3498212397098541,0.0,0.0,0.36575019359588623,0.28442859649658203
0.6120699644088745,0.4610736072063446,0.8780941963195801,0.7622714042663574,0.9848629236221313,0.9510022401809692,15,18895,,,,,,,
,,,,,,15,18895,0.9540246725082397,0.9018345475196838,0.3475727438926697,0.0,0.0,0.37722906470298767,0.2751981019973755
0.5714369416236877,0.4030052125453949,0.8737967014312744,0.8007699847221375,0.9460667371749878,0.8198288679122925,16,20076,,,,,,,
,,,,,,16,20076,0.955840528011322,0.9031753540039062,0.3420754373073578,0.0,0.0,0.37525415420532227,0.28267043828964233
0.7174383401870728,0.5054936408996582,0.8880930542945862,0.852952241897583,0.9761322736740112,0.895348846912384,17,21257,,,,,,,
,,,,,,17,21257,0.9564821720123291,0.9100372791290283,0.34523674845695496,0.0,0.0,0.3765753507614136,0.27818790078163147
0.5450772643089294,0.2815421223640442,0.8823057413101196,0.8066942691802979,0.9763110876083374,0.9301660060882568,18,22438,,,,,,,
,,,,,,18,22438,0.9586982727050781,0.9141019582748413,0.3583933115005493,0.0,0.0,0.3759901821613312,0.2656164765357971
0.6782162189483643,0.4584837555885315,0.8741118311882019,0.7648482322692871,0.9784266948699951,0.9479953050613403,19,23619,,,,,,,
,,,,,,19,23619,0.9594325423240662,0.9165453910827637,0.34729698300361633,0.0,0.0,0.37592506408691406,0.27677786350250244
0.5177534222602844,0.3796662390232086,0.8549450039863586,0.6408489942550659,0.980214536190033,0.9390863180160522,20,24800,,,,,,,
,,,,,,20,24800,0.9600510597229004,0.9124943017959595,0.3461620807647705,0.0,0.0,0.37796342372894287,0.275874525308609
0.7072095274925232,0.4773975908756256,0.9007276892662048,0.8248315453529358,0.9788736701011658,0.8292329907417297,21,25981,,,,,,,
,,,,,,21,25981,0.9611425995826721,0.9151314496994019,0.341763436794281,0.0,0.0,0.3863902688026428,0.2718462347984314
0.6600160002708435,0.4553706645965576,0.8685823678970337,0.7720947861671448,0.984386146068573,0.9363241791725159,22,27162,,,,,,,
,,,,,,22,27162,0.9622307419776917,0.9218282103538513,0.33948829770088196,0.0,0.0,0.39792323112487793,0.2625885009765625
0.555270791053772,0.30779847502708435,0.880357563495636,0.7924031615257263,0.9868593811988831,0.9492385983467102,23,28343,,,,,,,
,,,,,,23,28343,0.9629650712013245,0.9206198453903198,0.3368231952190399,0.0,0.0,0.3976970911026001,0.2654797434806824
0.5980788469314575,0.4610736072063446,0.9079761505126953,0.8533283472061157,0.975208580493927,0.9310464859008789,24,29524,,,,,,,
,,,,,,24,29524,0.9634082317352295,0.9195777177810669,0.33740338683128357,0.0,0.0,0.3941551148891449,0.2684415578842163
0.5224563479423523,0.2996423840522766,0.8631675243377686,0.7423843741416931,0.9801251292228699,0.9353233575820923,25,30705,,,,,,,
,,,,,,25,30705,0.9647610783576965,0.926275372505188,0.333477258682251,0.0,0.0,0.39119046926498413,0.2753322124481201
