train_loss,train_acc,epoch,step,test_loss,test_acc
2.0746498107910156,0.2890625,0,49,,
2.0631940364837646,0.29296875,0,99,,
1.9650157690048218,0.32421875,0,149,,
,,0,195,1.6648019552230835,0.4593999981880188
1.875557541847229,0.359375,1,199,,
1.7685163021087646,0.46875,1,249,,
1.8107446432113647,0.4140625,1,299,,
1.764409065246582,0.4140625,1,349,,
,,1,391,1.5085947513580322,0.5145000219345093
1.828065276145935,0.421875,2,399,,
1.6682331562042236,0.4609375,2,449,,
1.6862578392028809,0.46484375,2,499,,
1.7448606491088867,0.43359375,2,549,,
,,2,587,1.4264097213745117,0.545799970626831
1.6783530712127686,0.5078125,3,599,,
1.5811476707458496,0.50390625,3,649,,
1.6857054233551025,0.4609375,3,699,,
1.7422581911087036,0.45703125,3,749,,
,,3,783,1.3769811391830444,0.5666000247001648
1.554300308227539,0.49609375,4,799,,
1.7185001373291016,0.52734375,4,849,,
1.6282919645309448,0.51953125,4,899,,
1.5264050960540771,0.5859375,4,949,,
,,4,979,1.327001690864563,0.5839999914169312
1.7085617780685425,0.46484375,5,999,,
1.5910574197769165,0.5546875,5,1049,,
1.7130038738250732,0.45703125,5,1099,,
1.6001367568969727,0.5,5,1149,,
,,5,1175,1.283681035041809,0.6032999753952026
1.437998652458191,0.59765625,6,1199,,
1.6133177280426025,0.5234375,6,1249,,
1.5109357833862305,0.55859375,6,1299,,
1.6523529291152954,0.46875,6,1349,,
,,6,1371,1.2539619207382202,0.6157000064849854
1.5287549495697021,0.56640625,7,1399,,
1.5861130952835083,0.53125,7,1449,,
1.5266693830490112,0.53125,7,1499,,
1.5846924781799316,0.5390625,7,1549,,
,,7,1567,1.2253704071044922,0.6237999796867371
1.5481897592544556,0.5703125,8,1599,,
1.599300503730774,0.53125,8,1649,,
1.5669432878494263,0.53515625,8,1699,,
1.480364203453064,0.56640625,8,1749,,
,,8,1763,1.2175830602645874,0.6241999864578247
1.4044795036315918,0.61328125,9,1799,,
1.5417438745498657,0.5078125,9,1849,,
1.4979883432388306,0.53125,9,1899,,
1.608400583267212,0.54296875,9,1949,,
,,9,1959,1.1933892965316772,0.6359999775886536
1.4053512811660767,0.60546875,10,1999,,
1.4491901397705078,0.5859375,10,2049,,
1.5743870735168457,0.515625,10,2099,,
1.4768952131271362,0.57421875,10,2149,,
,,10,2155,1.1706205606460571,0.6434999704360962
1.3259549140930176,0.65234375,11,2199,,
1.413874626159668,0.60546875,11,2249,,
1.39372980594635,0.59765625,11,2299,,
1.3346160650253296,0.62109375,11,2349,,
,,11,2351,1.1756315231323242,0.640500009059906
1.422295331954956,0.6015625,12,2399,,
1.4142255783081055,0.59765625,12,2449,,
1.3914258480072021,0.6015625,12,2499,,
,,12,2547,1.1726036071777344,0.635699987411499
1.368708848953247,0.62109375,13,2549,,
1.2325786352157593,0.62890625,13,2599,,
1.323797345161438,0.63671875,13,2649,,
1.4260517358779907,0.6171875,13,2699,,
,,13,2743,1.1598588228225708,0.6413000226020813
1.4694418907165527,0.55078125,14,2749,,
1.3197990655899048,0.62109375,14,2799,,
1.3198754787445068,0.6484375,14,2849,,
1.3378771543502808,0.64453125,14,2899,,
,,14,2939,1.1395491361618042,0.6518999934196472
1.3931167125701904,0.59375,15,2949,,
1.3962733745574951,0.58203125,15,2999,,
1.2836397886276245,0.6171875,15,3049,,
