acc_avg_test,acc_wg_test,acc_avg_val,acc_wg_val,acc_avg_idval,acc_wg_idval,epoch,step,acc_avg_train,acc_wg_train,group_0,group_1,group_2,group_3,group_4
0.608966052532196,0.43431171774864197,0.8334574699401855,0.5347235202789307,0.9577175378799438,0.8084632754325867,0,1180,,,,,,,
,,,,,,0,1180,0.8570994138717651,0.7423133254051208,0.3675493896007538,0.0,0.0,0.28357234597206116,0.34887826442718506
0.6485879421234131,0.43854010105133057,0.8591852188110352,0.6164587736129761,0.9594159722328186,0.8705583810806274,1,2361,,,,,,,
,,,,,,1,2361,0.8959303498268127,0.7922424674034119,0.3986346423625946,0.0,0.0,0.27382561564445496,0.3275398015975952
0.5287582278251648,0.23059789836406708,0.814749002456665,0.42803946137428284,0.9257449507713318,0.745708167552948,2,3542,,,,,,,
,,,,,,2,3542,0.9093558192253113,0.8139912486076355,0.38650065660476685,0.0,0.0,0.28456398844718933,0.3289353847503662
0.5193641781806946,0.38989272713661194,0.8352051377296448,0.4952522814273834,0.9707985520362854,0.875634491443634,3,4723,,,,,,,
,,,,,,3,4723,0.9182201027870178,0.8277960419654846,0.368213951587677,0.0,0.0,0.2797912657260895,0.3519947826862335
0.6712088584899902,0.4334341883659363,0.895599365234375,0.7685274481773376,0.9713349342346191,0.8740954995155334,4,5904,,,,,,,
,,,,,,4,5904,0.9241043329238892,0.8352490663528442,0.3712117373943329,0.0,0.0,0.27121230959892273,0.3575759530067444
0.4944153130054474,0.2545015513896942,0.8533979058265686,0.6065909266471863,0.968116819858551,0.8263386487960815,5,7085,,,,,,,
,,,,,,5,7085,0.9296147227287292,0.8423973321914673,0.3707703948020935,0.0,0.0,0.26287075877189636,0.36635884642601013
0.5394808053970337,0.2406989187002182,0.8669493198394775,0.6551852822303772,0.9780989289283752,0.9314720630645752,6,8266,,,,,,,
,,,,,,6,8266,0.9338384866714478,0.8573451042175293,0.3774968087673187,0.0,0.0,0.2738476097583771,0.3486556112766266
0.5758459568023682,0.407898873090744,0.8597009181976318,0.7123440504074097,0.9762216806411743,0.8984771370887756,7,9447,,,,,,,
,,,,,,7,9447,0.9370435476303101,0.8659303784370422,0.3908277153968811,0.0,0.0,0.2816002666950226,0.3275720179080963
0.5637595057487488,0.4255285859107971,0.8861448764801025,0.7663377523422241,0.9602801203727722,0.8899513483047485,8,10628,,,,,,,
,,,,,,8,10628,0.9401328563690186,0.8687528371810913,0.3945467472076416,0.0,0.0,0.2886427342891693,0.31681057810783386
0.5687327980995178,0.3605935275554657,0.894023597240448,0.7784397602081299,0.9760131239891052,0.9289340376853943,9,11809,,,,,,,
,,,,,,9,11809,0.9427921175956726,0.8782747387886047,0.3846474587917328,0.0,0.0,0.2962445318698883,0.31910809874534607
0.6459425687789917,0.4415658116340637,0.8610187768936157,0.7122232913970947,0.9484803080558777,0.7698987126350403,10,12990,,,,,,,
,,,,,,10,12990,0.9444723725318909,0.8861331939697266,0.3867143392562866,0.0,0.0,0.29296422004699707,0.3203214108943939
0.525901198387146,0.21287408471107483,0.8434276580810547,0.544777512550354,0.9734207391738892,0.9015918970108032,11,14171,,,,,,,
,,,,,,11,14171,0.9468008875846863,0.8806039690971375,0.38554665446281433,0.0,0.0,0.2997661530971527,0.3146872818470001
0.522127091884613,0.27721312642097473,0.8927056789398193,0.752560019493103,0.9807509183883667,0.9390863180160522,12,15352,,,,,,,
,,,,,,12,15352,0.948620080947876,0.8887878656387329,0.38705071806907654,0.0,0.0,0.3057037591934204,0.30724552273750305
0.5693911910057068,0.4360382854938507,0.8261517286300659,0.4565257728099823,0.9801549315452576,0.9238578677177429,13,16533,,,,,,,
,,,,,,13,16533,0.9499794840812683,0.8933734893798828,0.3905778229236603,0.0,0.0,0.3062882125377655,0.30313390493392944
0.6502927541732788,0.4390990436077118,0.8691267371177673,0.7196052670478821,0.9821215867996216,0.903553307056427,14,17714,,,,,,,
,,,,,,14,17714,0.9518449902534485,0.8968995809555054,0.3955979645252228,0.0,0.0,0.30499932169914246,0.29940271377563477
0.6558539271354675,0.4609951376914978,0.8708457350730896,0.7653253078460693,0.9724374413490295,0.8730964660644531,15,18895,,,,,,,
,,,,,,15,18895,0.9531812071800232,0.8987262845039368,0.3914428651332855,0.0,0.0,0.31807541847229004,0.29048171639442444
