acc_avg_test,acc_wg_test,acc_avg_val,acc_wg_val,acc_avg_idval,acc_wg_idval,epoch,step,acc_avg_train,acc_wg_train,group_0,group_1,group_2,group_3,group_4
0.5633362531661987,0.39164143800735474,0.8272690773010254,0.5311859846115112,0.9391835331916809,0.7670043706893921,0,1180,,,,,,,
,,,,,,0,1180,0.850272536277771,0.7396440505981445,0.33083978295326233,0.0,0.0,0.31549057364463806,0.3536697030067444
0.54694664478302,0.39310941100120544,0.8189892172813416,0.49730032682418823,0.9313468337059021,0.703045666217804,1,2361,,,,,,,
,,,,,,1,2361,0.8900461792945862,0.7809538841247559,0.36346936225891113,0.0,0.0,0.3069514036178589,0.32957923412323
0.6224516034126282,0.4450635612010956,0.855202853679657,0.6352634429931641,0.9628426432609558,0.8502538204193115,2,3542,,,,,,,
,,,,,,2,3542,0.9019005298614502,0.7919208407402039,0.36859580874443054,0.0,0.0,0.30305731296539307,0.3283468782901764
0.6200531721115112,0.3975827991962433,0.8349472880363464,0.6867179870605469,0.925119161605835,0.6573604345321655,3,4723,,,,,,,
,,,,,,3,4723,0.9100305438041687,0.804915726184845,0.39791974425315857,0.0,0.0,0.29191744327545166,0.31016287207603455
0.5257601141929626,0.3322981297969818,0.8420811295509338,0.5894619226455688,0.9702324271202087,0.893401026725769,4,5904,,,,,,,
,,,,,,4,5904,0.9157394170761108,0.8174326419830322,0.4142513573169708,0.0,0.0,0.27992716431617737,0.3058214485645294
0.4796834886074066,0.1913231760263443,0.8356062173843384,0.5501768589019775,0.9667461514472961,0.8523878455162048,5,7085,,,,,,,
,,,,,,5,7085,0.9198176860809326,0.8209366202354431,0.4341253936290741,0.0,0.0,0.28213736414909363,0.28373730182647705
0.6209701895713806,0.43211042881011963,0.8675509691238403,0.6870229244232178,0.9705303907394409,0.8959391117095947,6,8266,,,,,,,
,,,,,,6,8266,0.9236941933631897,0.8270799517631531,0.434761106967926,0.0,0.0,0.2796393632888794,0.2855995297431946
0.5343546271324158,0.3896103799343109,0.8335434198379517,0.5864829421043396,0.9654052257537842,0.8274111747741699,7,9447,,,,,,,
,,,,,,7,9447,0.9265784025192261,0.8371907472610474,0.4412577152252197,0.0,0.0,0.266021192073822,0.2927210330963135
0.5337197780609131,0.34625759720802307,0.8436282277107239,0.6952150464057922,0.9575685262680054,0.807106614112854,8,10628,,,,,,,
,,,,,,8,10628,0.9285166263580322,0.8432137370109558,0.44012272357940674,0.0,0.0,0.26437705755233765,0.2955002784729004
0.4810120761394501,0.28100883960723877,0.8772919774055481,0.7061999440193176,0.9661799669265747,0.8578607439994812,9,11809,,,,,,,
,,,,,,9,11809,0.9330711364746094,0.8527830243110657,0.4301881194114685,0.0,0.0,0.2562859058380127,0.3135259449481964
0.4908411204814911,0.21977539360523224,0.8744556307792664,0.7184881567955017,0.9601311087608337,0.8883248567581177,10,12990,,,,,,,
,,,,,,10,12990,0.9345926642417908,0.8610138297080994,0.4416874945163727,0.0,0.0,0.25530189275741577,0.30301064252853394
0.49018269777297974,0.27994227409362793,0.8845118284225464,0.795941174030304,0.9641835689544678,0.903553307056427,11,14171,,,,,,,
,,,,,,11,14171,0.9360413551330566,0.8647887110710144,0.44294458627700806,0.0,0.0,0.2555236518383026,0.30153173208236694
0.48311659693717957,0.20625509321689606,0.8782660961151123,0.742760419845581,0.9783670902252197,0.9175946712493896,12,15352,,,,,,,
,,,,,,12,15352,0.9380292296409607,0.8726291656494141,0.4454040825366974,0.0,0.0,0.2532033622264862,0.3013925552368164
0.5365179777145386,0.3656753897666931,0.8852280378341675,0.767957866191864,0.9745232462882996,0.9265033602714539,13,16533,,,,,,,
,,,,,,13,16533,0.9399211406707764,0.8717869520187378,0.4434557557106018,0.0,0.0,0.2670971155166626,0.28944718837738037
0.4989418387413025,0.26090094447135925,0.8621647953987122,0.7430645823478699,0.9768474102020264,0.8730964660644531,14,17714,,,,,,,
,,,,,,14,17714,0.942097544670105,0.8730787634849548,0.4348466694355011,0.0,0.0,0.27137550711631775,0.29377779364585876
0.482117235660553,0.31046488881111145,0.8466078639030457,0.6661701798439026,0.9729141592979431,0.9010152220726013,15,18895,,,,,,,
,,,,,,15,18895,0.9425241947174072,0.8803144693374634,0.41888174414634705,0.0,0.0,0.29131779074668884,0.2898005247116089
0.5236555337905884,0.28919631242752075,0.8776071667671204,0.738968551158905,0.9680870175361633,0.904231607913971,16,20076,,,,,,,
,,,,,,16,20076,0.9441515207290649,0.8824770450592041,0.4168660044670105,0.0,0.0,0.2952474057674408,0.2878865897655487
0.4658922553062439,0.19596587121486664,0.8652303218841553,0.6754794120788574,0.9178486466407776,0.6834423542022705,17,21257,,,,,,,
,,,,,,17,21257,0.9452331066131592,0.8854275941848755,0.42503973841667175,0.0,0.0,0.2985506057739258,0.27640971541404724
0.4738754332065582,0.15665976703166962,0.842281699180603,0.5570657253265381,0.9410011768341064,0.8465941548347473,18,22438,,,,,,,
,,,,,,18,22438,0.9470853805541992,0.8830932378768921,0.43081602454185486,0.0,0.0,0.29168039560317993,0.2775035500526428
0.5415500998497009,0.4080870747566223,0.8827641606330872,0.7531279921531677,0.9667758941650391,0.9187816977500916,19,23619,,,,,,,
,,,,,,19,23619,0.9477799534797668,0.8800191283226013,0.4252455234527588,0.0,0.0,0.3026784360408783,0.2720760703086853
0.616561233997345,0.42112699151039124,0.8714760541915894,0.6973050832748413,0.9790822267532349,0.8857868313789368,20,24800,,,,,,,
,,,,,,20,24800,0.9481868147850037,0.888355553150177,0.42218461632728577,0.0,0.0,0.30236923694610596,0.2754461169242859
0.5090413093566895,0.24308300018310547,0.8358354568481445,0.6170173287391663,0.9830154776573181,0.9416243433952332,21,25981,,,,,,,
,,,,,,21,25981,0.9496454000473022,0.8905579447746277,0.41270336508750916,0.0,0.0,0.3002421259880066,0.28705453872680664
0.49154654145240784,0.30337536334991455,0.8617063760757446,0.7754794955253601,0.9820023775100708,0.9289340376853943,22,27162,,,,,,,
,,,,,,22,27162,0.9510180950164795,0.8977029323577881,0.39186975359916687,0.0,0.0,0.3163168728351593,0.29181334376335144
0.5468408465385437,0.32778090238571167,0.8539422154426575,0.7367660999298096,0.9435339570045471,0.639652669429779,23,28343,,,,,,,
,,,,,,23,28343,0.952106237411499,0.8935794830322266,0.37917980551719666,0.0,0.0,0.3272183835506439,0.2936018109321594
0.5064429640769958,0.21469351649284363,0.8598441481590271,0.6829268336296082,0.9699046611785889,0.8567293882369995,24,29524,,,,,,,
,,,,,,24,29524,0.9523476958274841,0.8917227387428284,0.3776096999645233,0.0,0.0,0.3319719433784485,0.290418416261673
0.5596914887428284,0.38430893421173096,0.8606749773025513,0.7490225434303284,0.9819129705429077,0.9450072646141052,25,30705,,,,,,,
,,,,,,25,30705,0.9531183838844299,0.8984289765357971,0.36860495805740356,0.0,0.0,0.3377963900566101,0.29359859228134155
0.4950854778289795,0.1870255321264267,0.8421670794487,0.6967045068740845,0.9813766479492188,0.92619389295578,26,31886,,,,,,,
,,,,,,26,31886,0.9537864923477173,0.8947119116783142,0.36577078700065613,0.0,0.0,0.3393441140651703,0.29488515853881836
0.573506236076355,0.355856716632843,0.8685250878334045,0.7252165675163269,0.9774135947227478,0.885672926902771,27,33067,,,,,,,
,,,,,,27,33067,0.9543983936309814,0.9055739641189575,0.3568100035190582,0.0,0.0,0.3518655300140381,0.2913244962692261
0.48185858130455017,0.17937135696411133,0.8730231523513794,0.7463907599449158,0.9831942915916443,0.9510022401809692,28,34248,,,,,,,
,,,,,,28,34248,0.955377459526062,0.904320478439331,0.35116711258888245,0.0,0.0,0.3571869730949402,0.29164591431617737
0.5243492126464844,0.3320158123970032,0.8745702505111694,0.6862367391586304,0.9836710095405579,0.9353233575820923,29,35429,,,,,,,
,,,,,,29,35429,0.9565185904502869,0.9049236178398132,0.3500297963619232,0.0,0.0,0.3581472933292389,0.29182296991348267
0.48851317167282104,0.16500407457351685,0.7875314950942993,0.6289331316947937,0.9853397011756897,0.9289340376853943,30,36610,,,,,,,
,,,,,,30,36610,0.9569187760353088,0.9025787711143494,0.3376866579055786,0.0,0.0,0.3586781322956085,0.3036351799964905
0.6055917143821716,0.43513616919517517,0.8566067218780518,0.6799807548522949,0.9665375351905823,0.8426395654678345,31,37791,,,,,,,
,,,,,,31,37791,0.957666277885437,0.909737229347229,0.33090314269065857,0.0,0.0,0.35882657766342163,0.31027036905288696
0.567145586013794,0.36511072516441345,0.8621647953987122,0.7011549472808838,0.9853695034980774,0.9365482330322266,32,38972,,,,,,,
,,,,,,32,38972,0.9574612379074097,0.9100188612937927,0.323108971118927,0.0,0.0,0.3586040735244751,0.3182869851589203
0.5189409255981445,0.289604127407074,0.8665769100189209,0.7216998934745789,0.9809892773628235,0.955456554889679,33,40153,,,,,,,
,,,,,,33,40153,0.958784282207489,0.9130502939224243,0.3183005154132843,0.0,0.0,0.36355069279670715,0.31814873218536377
0.48578551411628723,0.2072589248418808,0.7869585156440735,0.6219723224639893,0.9822109937667847,0.9542072415351868,34,41334,,,,,,,
,,,,,,34,41334,0.9594325423240662,0.91115403175354,0.3108990490436554,0.0,0.0,0.36454862356185913,0.32455238699913025
0.508018434047699,0.21039588749408722,0.8198773860931396,0.6937255859375,0.9832538962364197,0.9044862389564514,35,42515,,,,,,,
,,,,,,35,42515,0.9596078395843506,0.9107089042663574,0.3201601803302765,0.0,0.0,0.3757489323616028,0.3040908873081207
