acc_avg_test,acc_wg_test,acc_avg_val,acc_wg_val,acc_avg_idval,acc_wg_idval,epoch,step,acc_avg_train,acc_wg_train,group_0,group_1,group_2,group_3,group_4
0.7474545836448669,0.37872225046157837,0.82248455286026,0.48482590913772583,0.9137365818023682,0.6049203872680664,0,1180,,,,,,,
,,,,,,0,1180,0.8517411351203918,0.7448297142982483,0.36215874552726746,0.0,0.0,0.28389373421669006,0.3539475202560425
0.5800079703330994,0.4368230998516083,0.8395885825157166,0.5196425318717957,0.9505661725997925,0.875634491443634,1,2361,,,,,,,
,,,,,,1,2361,0.8918091058731079,0.7904980778694153,0.4080258309841156,0.0,0.0,0.24611973762512207,0.3458545207977295
0.7105603218078613,0.5087898373603821,0.8701295256614685,0.7529324293136597,0.9516984224319458,0.8133140206336975,2,3542,,,,,,,
,,,,,,2,3542,0.9034650325775146,0.8058046102523804,0.4451763331890106,0.0,0.0,0.23334236443042755,0.32148122787475586
0.7052578330039978,0.4744153320789337,0.8708457350730896,0.7371066808700562,0.9688319563865662,0.8857868313789368,3,4723,,,,,,,
,,,,,,3,4723,0.9120911955833435,0.817545473575592,0.45025190711021423,0.0,0.0,0.22546720504760742,0.32428085803985596
0.6590871810913086,0.44875216484069824,0.8762605786323547,0.7110407948493958,0.9719010591506958,0.8883248567581177,4,5904,,,,,,,
,,,,,,4,5904,0.918531060218811,0.8300963640213013,0.4483218193054199,0.0,0.0,0.2516340911388397,0.30004405975341797
0.6454370021820068,0.45408883690834045,0.8813316822052002,0.7544218897819519,0.9415673613548279,0.8040597438812256,5,7085,,,,,,,
,,,,,,5,7085,0.9236246943473816,0.8393504619598389,0.4510907828807831,0.0,0.0,0.26465892791748047,0.28425028920173645
0.5117337107658386,0.3541000187397003,0.8517361879348755,0.5859243869781494,0.9688915610313416,0.8883248567581177,6,8266,,,,,,,
,,,,,,6,8266,0.9277228116989136,0.8394474387168884,0.4594060480594635,0.0,0.0,0.27161312103271484,0.26898089051246643
0.5561407804489136,0.3180563449859619,0.8762605786323547,0.74883633852005,0.9721096754074097,0.9086294174194336,7,9447,,,,,,,
,,,,,,7,9447,0.9300282001495361,0.8500389456748962,0.46382102370262146,0.0,0.0,0.27309271693229675,0.2630862295627594
0.5877324938774109,0.4330560266971588,0.8860589265823364,0.7436231374740601,0.9691299200057983,0.8292329907417297,8,10628,,,,,,,
,,,,,,8,10628,0.9335739016532898,0.8586056232452393,0.47553250193595886,0.0,0.0,0.27052241563796997,0.25394508242607117
0.5908011198043823,0.3896103799343109,0.8794121146202087,0.7439955472946167,0.9749106168746948,0.9289340376853943,9,11809,,,,,,,
,,,,,,9,11809,0.9357602000236511,0.8583333492279053,0.46860891580581665,0.0,0.0,0.2735667824745178,0.2578243017196655
0.574505627155304,0.37019261717796326,0.8897833824157715,0.7646620869636536,0.9722586274147034,0.8726483583450317,10,12990,,,,,,,
,,,,,,10,12990,0.9383070468902588,0.8697293996810913,0.45965245366096497,0.0,0.0,0.2791592478752136,0.261188268661499
0.5586333274841309,0.4052638113498688,0.8800997138023376,0.694656491279602,0.9676400423049927,0.7670043706893921,11,14171,,,,,,,
,,,,,,11,14171,0.94048672914505,0.8743496537208557,0.43879884481430054,0.0,0.0,0.29005131125450134,0.27114981412887573
0.544442355632782,0.4053265452384949,0.8955134153366089,0.7589027881622314,0.9710667729377747,0.9060913920402527,12,15352,,,,,,,
,,,,,,12,15352,0.9429773688316345,0.8721608519554138,0.42789238691329956,0.0,0.0,0.299019455909729,0.2730882167816162
0.4984245300292969,0.23310747742652893,0.8655455112457275,0.6064047813415527,0.9751787781715393,0.9485530257225037,13,16533,,,,,,,
,,,,,,13,16533,0.9437413811683655,0.8766346573829651,0.41539961099624634,0.0,0.0,0.30154550075531006,0.2830548882484436
0.6036282777786255,0.4267520010471344,0.8806726932525635,0.7391722798347473,0.9675804376602173,0.845151960849762,14,17714,,,,,,,
,,,,,,14,17714,0.9451867938041687,0.8832162618637085,0.39821985363960266,0.0,0.0,0.3142601549625397,0.28751999139785767
0.5938109755516052,0.417654812335968,0.8813889622688293,0.7849562168121338,0.9386770129203796,0.6743849515914917,15,18895,,,,,,,
,,,,,,15,18895,0.9468273520469666,0.8958878517150879,0.39336568117141724,0.0,0.0,0.3097672760486603,0.29686710238456726
0.549686074256897,0.33342742919921875,0.9079475402832031,0.8051899075508118,0.9730035662651062,0.8759689927101135,16,20076,,,,,,,
,,,,,,16,20076,0.9484083652496338,0.8868364095687866,0.39750760793685913,0.0,0.0,0.3110889494419098,0.29140347242355347
0.5077362656593323,0.24292615056037903,0.8568645715713501,0.5965369343757629,0.9787842631340027,0.9365482330322266,17,21257,,,,,,,
,,,,,,17,21257,0.9495428800582886,0.8915162086486816,0.38674190640449524,0.0,0.0,0.31079697608947754,0.302461177110672
0.47976580262184143,0.15954576432704926,0.8416513800621033,0.6745485067367554,0.9373956918716431,0.7785817384719849,18,22438,,,,,,,
,,,,,,18,22438,0.9514579772949219,0.8999845385551453,0.37884294986724854,0.0,0.0,0.3214086592197418,0.29974839091300964
