train_loss,train_acc,epoch,step,test_loss,test_acc
2.1984498500823975,0.2109375,0,49,,
2.09031343460083,0.2265625,0,99,,
1.9828059673309326,0.33984375,0,149,,
,,0,195,1.7836182117462158,0.4090000092983246
1.8817747831344604,0.34765625,1,199,,
1.9102826118469238,0.34765625,1,249,,
1.8868732452392578,0.35546875,1,299,,
1.8455398082733154,0.4296875,1,349,,
,,1,391,1.6339571475982666,0.47189998626708984
1.8291419744491577,0.42578125,2,399,,
1.8646275997161865,0.390625,2,449,,
1.9245083332061768,0.36328125,2,499,,
1.8279926776885986,0.34375,2,549,,
,,2,587,1.546735405921936,0.5055999755859375
1.814946174621582,0.421875,3,599,,
1.6371896266937256,0.49609375,3,649,,
1.8121427297592163,0.39453125,3,699,,
1.7966759204864502,0.4296875,3,749,,
,,3,783,1.4788933992385864,0.534500002861023
1.7292426824569702,0.4453125,4,799,,
1.74101984500885,0.43359375,4,849,,
1.8432339429855347,0.3984375,4,899,,
1.709148645401001,0.45703125,4,949,,
,,4,979,1.4325385093688965,0.54830002784729
1.7219128608703613,0.4609375,5,999,,
1.65169358253479,0.46484375,5,1049,,
1.6825021505355835,0.4921875,5,1099,,
1.7853567600250244,0.4453125,5,1149,,
,,5,1175,1.383988618850708,0.5670999884605408
1.6225147247314453,0.51953125,6,1199,,
1.681545376777649,0.49609375,6,1249,,
1.6024976968765259,0.54296875,6,1299,,
1.6235274076461792,0.4765625,6,1349,,
,,6,1371,1.359519124031067,0.5803999900817871
1.5532495975494385,0.5390625,7,1399,,
1.6205886602401733,0.48046875,7,1449,,
1.6264046430587769,0.4765625,7,1499,,
1.5596864223480225,0.53125,7,1549,,
,,7,1567,1.331992745399475,0.5866000056266785
1.6155163049697876,0.5078125,8,1599,,
1.4894732236862183,0.5703125,8,1649,,
1.6837666034698486,0.44921875,8,1699,,
1.5472809076309204,0.51953125,8,1749,,
,,8,1763,1.2982183694839478,0.5995000004768372
1.5398560762405396,0.50390625,9,1799,,
1.6526237726211548,0.4921875,9,1849,,
1.5573925971984863,0.54296875,9,1899,,
1.5400031805038452,0.5390625,9,1949,,
,,9,1959,1.2860636711120605,0.6028000116348267
1.5810425281524658,0.52734375,10,1999,,
1.6029263734817505,0.515625,10,2049,,
1.5099494457244873,0.55078125,10,2099,,
1.601828694343567,0.52734375,10,2149,,
,,10,2155,1.2679829597473145,0.6105999946594238
1.5333420038223267,0.50390625,11,2199,,
1.5624310970306396,0.53125,11,2249,,
1.5181652307510376,0.51171875,11,2299,,
1.4715197086334229,0.55078125,11,2349,,
,,11,2351,1.2542104721069336,0.6122999787330627
1.5562385320663452,0.51953125,12,2399,,
1.6542229652404785,0.53125,12,2449,,
1.4978870153427124,0.5703125,12,2499,,
,,12,2547,1.2397465705871582,0.6190999746322632
1.6859549283981323,0.48828125,13,2549,,
1.544945240020752,0.51953125,13,2599,,
1.4909453392028809,0.52734375,13,2649,,
1.3942264318466187,0.59375,13,2699,,
,,13,2743,1.2293566465377808,0.6216999888420105
1.6089954376220703,0.49609375,14,2749,,
1.4902092218399048,0.58984375,14,2799,,
1.4130043983459473,0.56640625,14,2849,,
1.5382922887802124,0.5234375,14,2899,,
,,14,2939,1.2301446199417114,0.6202999949455261
1.3799244165420532,0.59765625,15,2949,,
1.5264607667922974,0.546875,15,2999,,
1.5530121326446533,0.56640625,15,3049,,
1.4642536640167236,0.56640625,15,3099,,
,,15,3135,1.2136926651000977,0.6266000270843506
1.563984751701355,0.53125,16,3149,,
1.4024455547332764,0.59765625,16,3199,,
1.5089824199676514,0.546875,16,3249,,
1.6012452840805054,0.49609375,16,3299,,
,,16,3331,1.2005704641342163,0.6355999708175659
1.4023290872573853,0.5703125,17,3349,,
1.3979535102844238,0.58203125,17,3399,,
1.3700276613235474,0.578125,17,3449,,
1.5037636756896973,0.55859375,17,3499,,
,,17,3527,1.1959102153778076,0.6344000101089478
1.4756495952606201,0.59375,18,3549,,
1.433577060699463,0.5859375,18,3599,,
1.384684681892395,0.57421875,18,3649,,
1.5345029830932617,0.55859375,18,3699,,
,,18,3723,1.193068027496338,0.635200023651123
1.3684496879577637,0.58984375,19,3749,,
1.4257956743240356,0.56640625,19,3799,,
1.3935452699661255,0.58984375,19,3849,,
1.5162968635559082,0.5703125,19,3899,,
,,19,3919,1.1809399127960205,0.6370000243186951
1.4586563110351562,0.57421875,20,3949,,
1.4109207391738892,0.625,20,3999,,
1.484957218170166,0.51171875,20,4049,,
1.3443570137023926,0.64453125,20,4099,,
,,20,4115,1.1731243133544922,0.6406000256538391
1.3901140689849854,0.5859375,21,4149,,
1.3924306631088257,0.5703125,21,4199,,
1.505946159362793,0.54296875,21,4249,,
1.3315387964248657,0.60546875,21,4299,,
,,21,4311,1.1698719263076782,0.6384000182151794
1.3467621803283691,0.6484375,22,4349,,
1.3865724802017212,0.5703125,22,4399,,
1.4131267070770264,0.60546875,22,4449,,
1.4492305517196655,0.52734375,22,4499,,
,,22,4507,1.166316032409668,0.6438000202178955
1.4582982063293457,0.5546875,23,4549,,
1.4153541326522827,0.58203125,23,4599,,
1.4559168815612793,0.56640625,23,4649,,
1.5247008800506592,0.5625,23,4699,,
,,23,4703,1.1675957441329956,0.6373000144958496
1.1967310905456543,0.69140625,24,4749,,
1.3516117334365845,0.65234375,24,4799,,
1.3536126613616943,0.59765625,24,4849,,
1.332674264907837,0.5375000238418579,24,4899,,
,,24,4899,1.1517444849014282,0.6455000042915344
1.3496276140213013,0.59375,25,4949,,
1.210777759552002,0.67578125,25,4999,,
1.383861780166626,0.578125,25,5049,,
,,25,5095,1.1549144983291626,0.6434000134468079
1.3887120485305786,0.5546875,26,5099,,
1.3561409711837769,0.6171875,26,5149,,
1.385495662689209,0.60546875,26,5199,,
1.3630822896957397,0.6015625,26,5249,,
,,26,5291,1.154256820678711,0.6406999826431274
1.408667802810669,0.59375,27,5299,,
1.331843614578247,0.59765625,27,5349,,
1.2548949718475342,0.64453125,27,5399,,
1.353421688079834,0.62890625,27,5449,,
,,27,5487,1.1522153615951538,0.6470000147819519
1.44593346118927,0.578125,28,5499,,
1.4307126998901367,0.59375,28,5549,,
1.2947243452072144,0.62109375,28,5599,,
1.3870853185653687,0.58203125,28,5649,,
,,28,5683,1.1475732326507568,0.6431000232696533
1.2751760482788086,0.65234375,29,5699,,
1.3522529602050781,0.59375,29,5749,,
1.3352819681167603,0.6015625,29,5799,,
1.1979042291641235,0.65234375,29,5849,,
,,29,5879,1.1517817974090576,0.645799994468689
1.3108588457107544,0.60546875,30,5899,,
1.3782678842544556,0.6015625,30,5949,,
1.3421231508255005,0.6328125,30,5999,,
1.3875510692596436,0.59375,30,6049,,
,,30,6075,1.1505069732666016,0.6446999907493591
1.343912124633789,0.609375,31,6099,,
1.2160007953643799,0.640625,31,6149,,
1.2749274969100952,0.6171875,31,6199,,
1.3308594226837158,0.61328125,31,6249,,
,,31,6271,1.1402467489242554,0.6421999931335449
1.3418736457824707,0.609375,32,6299,,
1.2986191511154175,0.63671875,32,6349,,
1.2563835382461548,0.60546875,32,6399,,
1.3119056224822998,0.671875,32,6449,,
,,32,6467,1.1295021772384644,0.647599995136261
1.3608598709106445,0.58203125,33,6499,,
1.3196109533309937,0.65234375,33,6549,,
1.2959914207458496,0.6171875,33,6599,,
1.3494521379470825,0.625,33,6649,,
,,33,6663,1.1328463554382324,0.6456000208854675
1.2991183996200562,0.63671875,34,6699,,
1.3392219543457031,0.625,34,6749,,
1.3270978927612305,0.62890625,34,6799,,
1.3192282915115356,0.59765625,34,6849,,
,,34,6859,1.1286630630493164,0.6536999940872192
1.2812631130218506,0.640625,35,6899,,
1.098341703414917,0.71484375,35,6949,,
1.1569619178771973,0.6484375,35,6999,,
1.3610258102416992,0.60546875,35,7049,,
,,35,7055,1.13222074508667,0.6452999711036682
1.1944432258605957,0.6875,36,7099,,
1.2662415504455566,0.62109375,36,7149,,
1.337504267692566,0.6328125,36,7199,,
1.229583740234375,0.65234375,36,7249,,
,,36,7251,1.1323438882827759,0.6478000283241272
1.3412035703659058,0.61328125,37,7299,,
1.2325665950775146,0.65625,37,7349,,
1.2155579328536987,0.65625,37,7399,,
,,37,7447,1.137317180633545,0.6449999809265137
1.2708215713500977,0.625,38,7449,,
1.3063697814941406,0.6171875,38,7499,,
1.2929327487945557,0.6328125,38,7549,,
1.148815631866455,0.7109375,38,7599,,
,,38,7643,1.1287579536437988,0.6439999938011169
1.2076184749603271,0.65625,39,7649,,
1.2691272497177124,0.625,39,7699,,
1.28793203830719,0.6015625,39,7749,,
1.2340030670166016,0.64453125,39,7799,,
,,39,7839,1.1318329572677612,0.642300009727478
1.1173465251922607,0.6875,40,7849,,
1.1832349300384521,0.66015625,40,7899,,
1.2541766166687012,0.62890625,40,7949,,
1.2385402917861938,0.6796875,40,7999,,
,,40,8035,1.1339151859283447,0.6452999711036682
1.1183909177780151,0.69140625,41,8049,,
1.1922917366027832,0.68359375,41,8099,,
1.157720685005188,0.73828125,41,8149,,
1.26467764377594,0.64453125,41,8199,,
,,41,8231,1.1286078691482544,0.6449000239372253
1.1287447214126587,0.71875,42,8249,,
1.2109146118164062,0.640625,42,8299,,
1.3041154146194458,0.60546875,42,8349,,
1.2635854482650757,0.6328125,42,8399,,
