acc_avg_test,acc_wg_test,acc_avg_val,acc_wg_val,acc_avg_idval,acc_wg_idval,epoch,step,acc_avg_train,acc_wg_train,group_0,group_1,group_2,group_3,group_4
0.5695558190345764,0.3630717098712921,0.819476306438446,0.48426735401153564,0.9299165606498718,0.7527839541435242,0,1180,,,,,,,
,,,,,,0,1180,0.8523960113525391,0.7313988208770752,0.3910127282142639,0.0,0.0,0.281619668006897,0.3273676931858063
0.6283067464828491,0.45291224122047424,0.8358640670776367,0.5256004333496094,0.9547973871231079,0.7973950505256653,1,2361,,,,,,,
,,,,,,1,2361,0.8940119743347168,0.7988271713256836,0.3975833058357239,0.0,0.0,0.2768763601779938,0.32554036378860474
0.6353023052215576,0.4726887345314026,0.8719058036804199,0.6371253132820129,0.9393325448036194,0.8231253623962402,2,3542,,,,,,,
,,,,,,2,3542,0.9077351093292236,0.816443920135498,0.43021854758262634,0.0,0.0,0.26866939663887024,0.30111199617385864
0.6879276633262634,0.47315964102745056,0.8588127493858337,0.6710109710693359,0.9613230228424072,0.8502538204193115,3,4723,,,,,,,
,,,,,,3,4723,0.9152631759643555,0.820789098739624,0.44953855872154236,0.0,0.0,0.2740268409252167,0.2764345109462738
0.573153555393219,0.3913043439388275,0.8608182668685913,0.6313535571098328,0.9604588747024536,0.784370481967926,4,5904,,,,,,,
,,,,,,4,5904,0.9219014644622803,0.8423359990119934,0.4485057294368744,0.0,0.0,0.27202102541923523,0.27947330474853516
0.5688621401786804,0.38716354966163635,0.8516502380371094,0.553714394569397,0.9747318029403687,0.9289340376853943,5,7085,,,,,,,
,,,,,,5,7085,0.9275739789009094,0.8522189855575562,0.44488614797592163,0.0,0.0,0.2731350064277649,0.28197890520095825
0.6655771732330322,0.45215582847595215,0.8788677453994751,0.7532907128334045,0.9544994235038757,0.8089724779129028,6,8266,,,,,,,
,,,,,,6,8266,0.9303920269012451,0.8576224446296692,0.44887256622314453,0.0,0.0,0.2581827640533447,0.29294461011886597
0.6187833547592163,0.45393186807632446,0.890270471572876,0.7480255961418152,0.9699344635009766,0.8930957913398743,7,9447,,,,,,,
,,,,,,7,9447,0.9336102604866028,0.8626505732536316,0.4371219873428345,0.0,0.0,0.25826364755630493,0.30461442470550537
0.5859571695327759,0.42858263850212097,0.882678210735321,0.7443678975105286,0.9679082036018372,0.8191027641296387,8,10628,,,,,,,
,,,,,,8,10628,0.9362398386001587,0.8673207759857178,0.4276059567928314,0.0,0.0,0.26151043176651,0.31088361144065857
0.6224516034126282,0.4508320689201355,0.8798991441726685,0.7270526885986328,0.9690107107162476,0.8871201276779175,9,11809,,,,,,,
,,,,,,9,11809,0.9392232298851013,0.8785947561264038,0.4147456884384155,0.0,0.0,0.279520720243454,0.3057335317134857
0.5913654565811157,0.40885022282600403,0.8602452278137207,0.6576056480407715,0.969070315361023,0.8494935035705566,10,12990,,,,,,,
,,,,,,10,12990,0.9414227604866028,0.877802312374115,0.4032829701900482,0.0,0.0,0.2973732054233551,0.29934388399124146
0.5355538725852966,0.3779095411300659,0.9004412293434143,0.8187288641929626,0.973241925239563,0.8465991020202637,11,14171,,,,,,,
,,,,,,11,14171,0.9436984062194824,0.8820182681083679,0.4023353159427643,0.0,0.0,0.29516473412513733,0.3024999499320984
0.635208249092102,0.4250510036945343,0.8823057413101196,0.7709665298461914,0.9690107107162476,0.8494935035705566,12,15352,,,,,,,
,,,,,,12,15352,0.9452529549598694,0.8849391937255859,0.4027346670627594,0.0,0.0,0.290475994348526,0.30678942799568176
0.6225574612617493,0.4423222243785858,0.8871476054191589,0.7672057151794434,0.9788140654563904,0.9378109574317932,13,16533,,,,,,,
,,,,,,13,16533,0.9470158815383911,0.882315993309021,0.38689273595809937,0.0,0.0,0.3032688498497009,0.3098383843898773
0.4795776903629303,0.2020515650510788,0.8893823027610779,0.7305101156234741,0.9677890539169312,0.9099144339561462,14,17714,,,,,,,
,,,,,,14,17714,0.9487821459770203,0.8918399810791016,0.3741399943828583,0.0,0.0,0.3219045102596283,0.3039555251598358
0.5174712538719177,0.2587678134441376,0.8938230872154236,0.7822489738464355,0.9835518598556519,0.9507959485054016,15,18895,,,,,,,
,,,,,,15,18895,0.9504194259643555,0.898411214351654,0.36728358268737793,0.0,0.0,0.3246009051799774,0.30811557173728943
0.5152021050453186,0.22623753547668457,0.8922473192214966,0.7762316465377808,0.9851608872413635,0.913705587387085,16,20076,,,,,,,
,,,,,,16,20076,0.9511238932609558,0.8912358283996582,0.3698488771915436,0.0,0.0,0.33482712507247925,0.2953239381313324
0.5337550044059753,0.29101574420928955,0.8896114826202393,0.76607745885849,0.9806913137435913,0.9175108671188354,17,21257,,,,,,,
,,,,,,17,21257,0.9530456066131592,0.8995170593261719,0.366104394197464,0.0,0.0,0.3420003056526184,0.29189538955688477
0.49931809306144714,0.2004203498363495,0.9065150022506714,0.7852576375007629,0.9727354049682617,0.9312195777893066,18,22438,,,,,,,
,,,,,,18,22438,0.9539452791213989,0.90062016248703,0.36738312244415283,0.0,0.0,0.33987656235694885,0.2927403450012207
0.47750839591026306,0.18354350328445435,0.8975189328193665,0.7841293811798096,0.9823301434516907,0.9450072646141052,19,23619,,,,,,,
,,,,,,19,23619,0.9559993147850037,0.9091203808784485,0.35238316655158997,0.0,0.0,0.348654568195343,0.2989623248577118
0.48686715960502625,0.16832925379276276,0.8955134153366089,0.8051899075508118,0.985309898853302,0.9568527936935425,20,24800,,,,,,,
,,,,,,20,24800,0.9561018347740173,0.9055009484291077,0.35917168855667114,0.0,0.0,0.34052443504333496,0.3003038465976715
0.4900651276111603,0.17946545779705048,0.8762032985687256,0.7102960348129272,0.9849523305892944,0.9568527936935425,21,25981,,,,,,,
,,,,,,21,25981,0.957894504070282,0.9115301966667175,0.35772383213043213,0.0,0.0,0.34608039259910583,0.2961958050727844
0.5170597434043884,0.21990087628364563,0.8880930542945862,0.7841293811798096,0.9515792727470398,0.7062228918075562,22,27162,,,,,,,
,,,,,,22,27162,0.9580069780349731,0.9109493494033813,0.355847030878067,0.0,0.0,0.34159308671951294,0.30255988240242004
0.5214922428131104,0.2677081227302551,0.9019309878349304,0.7930702567100525,0.984892725944519,0.9593908786773682,23,28343,,,,,,,
,,,,,,23,28343,0.9593895673751831,0.9164143204689026,0.3493068516254425,0.0,0.0,0.3434438705444336,0.30724936723709106
0.49834221601486206,0.18024970591068268,0.9108984470367432,0.8337721228599548,0.9804826974868774,0.9376391768455505,24,29524,,,,,,,
,,,,,,24,29524,0.9603884220123291,0.9165217280387878,0.33988842368125916,0.0,0.0,0.34958866238594055,0.3105228543281555
0.5754461884498596,0.3509003221988678,0.8424249291419983,0.6304226517677307,0.9847437143325806,0.948775053024292,25,30705,,,,,,,
,,,,,,25,30705,0.9599286913871765,0.9161695241928101,0.3366077244281769,0.0,0.0,0.3514615297317505,0.31193074584007263
0.5689444541931152,0.3779095411300659,0.8868324756622314,0.7754607796669006,0.9808700680732727,0.9015918970108032,26,31886,,,,,,,
,,,,,,26,31886,0.9614865779876709,0.9201707243919373,0.3231644928455353,0.0,0.0,0.3512193262577057,0.32561612129211426
0.558551013469696,0.3488612771034241,0.9041943550109863,0.7965400815010071,0.9835816621780396,0.9377713203430176,27,33067,,,,,,,
,,,,,,27,33067,0.9621480703353882,0.914039671421051,0.32257524132728577,0.0,0.0,0.34649786353111267,0.33092692494392395
0.5366590619087219,0.25528576970100403,0.8928202986717224,0.787138044834137,0.9836710095405579,0.9435600638389587,28,34248,,,,,,,
,,,,,,28,34248,0.9626474976539612,0.91867995262146,0.3155989646911621,0.0,0.0,0.35716772079467773,0.32723337411880493
0.5896489024162292,0.4377836585044861,0.9012147784233093,0.8010530471801758,0.9842371940612793,0.9392185211181641,29,35429,,,,,,,
,,,,,,29,35429,0.9639606475830078,0.9192761778831482,0.3109058141708374,0.0,0.0,0.35862991213798523,0.330464243888855
0.5260540246963501,0.22614341974258423,0.8913018703460693,0.7852576375007629,0.9850715398788452,0.9517766237258911,30,36610,,,,,,,
