acc_avg_test,acc_slide:0,count_slide:0,acc_slide:1,count_slide:1,acc_slide:2,count_slide:2,acc_slide:3,count_slide:3,acc_slide:4,count_slide:4,acc_slide:5,count_slide:5,acc_slide:6,count_slide:6,acc_slide:7,count_slide:7,acc_slide:8,count_slide:8,acc_slide:9,count_slide:9,acc_slide:10,count_slide:10,acc_slide:11,count_slide:11,acc_slide:12,count_slide:12,acc_slide:13,count_slide:13,acc_slide:14,count_slide:14,acc_slide:15,count_slide:15,acc_slide:16,count_slide:16,acc_slide:17,count_slide:17,acc_slide:18,count_slide:18,acc_slide:19,count_slide:19,acc_slide:20,count_slide:20,acc_slide:21,count_slide:21,acc_slide:22,count_slide:22,acc_slide:23,count_slide:23,acc_slide:24,count_slide:24,acc_slide:25,count_slide:25,acc_slide:26,count_slide:26,acc_slide:27,count_slide:27,acc_slide:28,count_slide:28,acc_slide:29,count_slide:29,acc_slide:30,count_slide:30,acc_slide:31,count_slide:31,acc_slide:32,count_slide:32,acc_slide:33,count_slide:33,acc_slide:34,count_slide:34,acc_slide:35,count_slide:35,acc_slide:36,count_slide:36,acc_slide:37,count_slide:37,acc_slide:38,count_slide:38,acc_slide:39,count_slide:39,acc_slide:40,count_slide:40,acc_slide:41,count_slide:41,acc_slide:42,count_slide:42,acc_slide:43,count_slide:43,acc_slide:44,count_slide:44,acc_slide:45,count_slide:45,acc_slide:46,count_slide:46,acc_slide:47,count_slide:47,acc_slide:48,count_slide:48,acc_slide:49,count_slide:49,acc_wg_test,acc_avg_val,acc_wg_val,acc_avg_idval,acc_wg_idval,epoch,step,acc_avg_train,acc_wg_train
0.6539492607116699,0.32496193051338196,146.0,0.32692307233810425,156.0,0.291017085313797,149.6666717529297,0.32505324482917786,469.6666564941406,0.3271072804927826,232.0,0.30332261323928833,103.66666412353516,0.3255588114261627,114.33333587646484,0.3273092210292816,55.33333206176758,0.32261282205581665,445.6666564941406,0.29441624879837036,131.3333282470703,0.2656400501728058,692.6666870117188,0.127102330327034,1790.3333740234375,0.2889540493488312,568.3333129882812,0.32247212529182434,3468.0,0.3074324429035187,296.0,0.3123173713684082,988.6666870117188,0.28900960087776184,1657.0,0.21624670922756195,886.3333129882812,0.295686274766922,425.0,0.26658937335014343,862.3333129882812,0.2596675455570221,1270.0,0.2239667922258377,1231.3333740234375,0.2201109528541565,2403.333251953125,0.15034039318561554,1762.6666259765625,0.26996245980262756,2575.666748046875,0.21750499308109283,1444.6666259765625,0.2613368332386017,1271.6666259765625,0.2518290877342224,1518.6666259765625,0.22340381145477295,10626.0,0.16064982116222382,4247.33349609375,0.329275906085968,356.0,0.3272543251514435,109.66666412353516,0.32680490612983704,289.3333435058594,0.3316831588745117,134.6666717529297,0.3159203827381134,134.0,0.3208672106266022,205.0,0.33269840478897095,350.0,0.3302238881587982,178.6666717529297,0.32485923171043396,1914.3333740234375,0.3220672309398651,621.3333129882812,0.32451722025871277,264.6666564941406,0.32815903425216675,408.0,0.32373473048210144,254.6666717529297,0.3259930908679962,257.3333435058594,0.3308580815792084,269.3333435058594,0.2976362705230713,230.3333282470703,0.3184754550457001,172.0,0.3247188329696655,464.3333435058594,0.3229883015155792,1987.0,0.32131272554397583,582.3333129882812,0.4510211944580078,0.8044922947883606,0.3813070058822632,0.969696044921875,0.8730512261390686,0,1181,,
,0.959773063659668,3878.0,0.9578590393066406,4129.0,0.8537670373916626,3597.0,0.9750572443008423,12228.0,0.9646862745285034,6598.0,0.9172601103782654,2949.0,0.9646562933921814,3084.0,0.9587412476539612,1430.0,0.9488364458084106,12118.0,0.8558875322341919,3414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986289918422699,9555.0,0.9767293334007263,3137.0,0.95993971824646,7963.0,0.9853388667106628,3615.0,0.9501127600669861,3548.0,0.946108877658844,5474.0,0.9917802810668945,9611.0,0.9783468842506409,4803.0,0.952238917350769,51632.0,0.9399012327194214,17621.0,0.9695500731468201,6601.0,0.9766064882278442,10302.0,0.977192759513855,7103.0,0.9644202589988708,7167.0,0.9779021143913269,7150.0,0.9328013062477112,6265.0,0.9668030738830566,4398.0,0.9797145128250122,13310.0,0.9671435356140137,55149.0,0.9450948238372803,14607.0,,,,,,0,1181,0.9598526358604431,0.8537670373916626
0.5898017883300781,0.3234398663043976,146.0,0.32905980944633484,156.0,0.2954714000225067,149.6666717529297,0.32789212465286255,469.6666564941406,0.3285440504550934,232.0,0.31832799315452576,103.66666412353516,0.32458698749542236,114.33333587646484,0.3253012001514435,55.33333206176758,0.32535526156425476,445.6666564941406,0.30118444561958313,131.3333282470703,0.24173885583877563,692.6666870117188,0.15552659332752228,1790.3333740234375,0.2920821011066437,568.3333129882812,0.32234397530555725,3468.0,0.31156155467033386,296.0,0.3101820647716522,988.6666870117188,0.30590760707855225,1657.0,0.23467469215393066,886.3333129882812,0.30483660101890564,425.0,0.2642700672149658,862.3333129882812,0.30603674054145813,1270.0,0.2868615686893463,1231.3333740234375,0.20346741378307343,2403.333251953125,0.15197932720184326,1762.6666259765625,0.297312468290329,2575.666748046875,0.2346562147140503,1444.6666259765625,0.27653998136520386,1271.6666259765625,0.30355575680732727,1518.6666259765625,0.14373548328876495,10626.0,0.14840684831142426,4247.33349609375,0.33052435517311096,356.0,0.326241135597229,109.66666412353516,0.3291090726852417,289.3333435058594,0.3316831588745117,134.6666717529297,0.3175787627696991,134.0,0.32249322533607483,205.0,0.33142855763435364,350.0,0.3283582031726837,178.6666717529297,0.3248012065887451,1914.3333740234375,0.32403433322906494,621.3333129882812,0.32745590806007385,264.6666564941406,0.33033767342567444,408.0,0.330715537071228,254.6666717529297,0.3316062092781067,257.3333435058594,0.32962045073509216,269.3333435058594,0.3256150484085083,230.3333282470703,0.3262273967266083,172.0,0.32663318514823914,464.3333435058594,0.32589611411094666,1987.0,0.3253195881843567,582.3333129882812,0.43120646476745605,0.8253781795501709,0.466579794883728,0.9775030016899109,0.8864142298698425,1,2363,,
,0.979886531829834,3878.0,0.9731169939041138,4129.0,0.9293856024742126,3597.0,0.9868335127830505,12228.0,0.9839345216751099,6598.0,0.9308239817619324,2949.0,0.9792477488517761,3084.0,0.9783216714859009,1430.0,0.9774715304374695,12118.0,0.9033392071723938,3414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9912087917327881,9555.0,0.9843800067901611,3137.0,0.9765163660049438,7963.0,0.9903181195259094,3615.0,0.9608229994773865,3548.0,0.9689440727233887,5474.0,0.9966704845428467,9611.0,0.9881324172019958,4803.0,0.974221408367157,51632.0,0.9707167744636536,17621.0,0.9825783967971802,6601.0,0.9917491674423218,10302.0,0.9888779520988464,7103.0,0.9836751818656921,7167.0,0.9916083812713623,7150.0,0.972545862197876,6265.0,0.9845384359359741,4398.0,0.988655149936676,13310.0,0.9778237342834473,55149.0,0.9706305265426636,14607.0,,,,,,1,2363,0.9778102040290833,0.9033392071723938
0.5888964533805847,0.3325723111629486,146.0,0.3283475935459137,156.0,0.314031183719635,149.6666717529297,0.32670924067497253,469.6666564941406,0.3285440504550934,232.0,0.30653804540634155,103.66666412353516,0.3304179012775421,114.33333587646484,0.3333333432674408,55.33333206176758,0.32759910821914673,445.6666564941406,0.3045685291290283,131.3333282470703,0.2548925280570984,692.6666870117188,0.13634952902793884,1790.3333740234375,0.29325512051582336,568.3333129882812,0.31997308135032654,3468.0,0.3126876950263977,296.0,0.3131040632724762,988.6666870117188,0.3088580369949341,1657.0,0.22552336752414703,886.3333129882812,0.30274510383605957,425.0,0.2641412317752838,862.3333129882812,0.3190726339817047,1270.0,0.30355530977249146,1231.3333740234375,0.182709202170372,2403.333251953125,0.15437468886375427,1762.6666259765625,0.3049911558628082,2575.666748046875,0.24203968048095703,1444.6666259765625,0.28108343482017517,1271.6666259765625,0.3148229420185089,1518.6666259765625,0.1370955854654312,10626.0,0.1524616777896881,4247.33349609375,0.3323970139026642,356.0,0.32928064465522766,109.66666412353516,0.32680490612983704,289.3333435058594,0.3316831588745117,134.6666717529297,0.32752901315689087,134.0,0.32628726959228516,205.0,0.3323809504508972,350.0,0.33084577322006226,178.6666717529297,0.32503336668014526,1914.3333740234375,0.3215307593345642,621.3333129882812,0.3282955586910248,264.6666564941406,0.33169934153556824,408.0,0.33289703726768494,254.6666717529297,0.33246979117393494,257.3333435058594,0.33127063512802124,269.3333435058594,0.32947418093681335,230.3333282470703,0.3255814015865326,172.0,0.3297439515590668,464.3333435058594,0.32712632417678833,1987.0,0.3194046914577484,582.3333129882812,0.41128677129745483,0.8166685700416565,0.40904858708381653,0.980214536190033,0.913705587387085,2,3545,,
,0.9858174324035645,3878.0,0.9837732911109924,4129.0,0.9530164003372192,3597.0,0.9913313984870911,12228.0,0.9889360666275024,6598.0,0.954221785068512,2949.0,0.9837872982025146,3084.0,0.985314667224884,1430.0,0.9854761362075806,12118.0,0.9311658143997192,3414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931972622871399,9555.0,0.9856550693511963,3137.0,0.9849302768707275,7963.0,0.9928077459335327,3615.0,0.9732243418693542,3548.0,0.9786262512207031,5474.0,0.9970866441726685,9611.0,0.9897980690002441,4803.0,0.9808839559555054,51632.0,0.9829748868942261,17621.0,0.9859112501144409,6601.0,0.9950494766235352,10302.0,0.9918344616889954,7103.0,0.9871633648872375,7167.0,0.9934265613555908,7150.0,0.9813247919082642,6265.0,0.9861300587654114,4398.0,0.9906085729598999,13310.0,0.9810513257980347,55149.0,0.9780242443084717,14607.0,,,,,,2,3545,0.9837023615837097,0.9311658143997192
0.6831071972846985,0.33105024695396423,146.0,0.32905980944633484,156.0,0.31180402636528015,149.6666717529297,0.32883843779563904,469.6666564941406,0.3295018970966339,232.0,0.31511253118515015,103.66666412353516,0.32750242948532104,114.33333587646484,0.3313252925872803,55.33333206176758,0.32759910821914673,445.6666564941406,0.3113367259502411,131.3333282470703,0.25938400626182556,692.6666870117188,0.14044560492038727,1790.3333740234375,0.29032257199287415,568.3333129882812,0.3220556080341339,3468.0,0.3074324429035187,296.0,0.3106316030025482,988.6666870117188,0.307986319065094,1657.0,0.23166604340076447,886.3333129882812,0.2988235354423523,425.0,0.2712279260158539,862.3333129882812,0.30787402391433716,1270.0,0.28992959856987,1231.3333740234375,0.23374943435192108,2403.333251953125,0.1538703888654709,1762.6666259765625,0.29817524552345276,2575.666748046875,0.24665434658527374,1444.6666259765625,0.273569256067276,1271.6666259765625,0.30772608518600464,1518.6666259765625,0.20867055654525757,10626.0,0.16899491846561432,4247.33349609375,0.33052435517311096,356.0,0.33029380440711975,109.66666412353516,0.3291090726852417,289.3333435058594,0.3316831588745117,134.6666717529297,0.326699823141098,134.0,0.3284552991390228,205.0,0.33269840478897095,350.0,0.33084577322006226,178.6666717529297,0.3263683319091797,1914.3333740234375,0.32886266708374023,621.3333129882812,0.32997480034828186,264.6666564941406,0.3306100070476532,408.0,0.32940664887428284,254.6666717529297,0.3255613148212433,257.3333435058594,0.33003300428390503,269.3333435058594,0.3314037621021271,230.3333282470703,0.32364341616630554,172.0,0.33070114254951477,464.3333435058594,0.326567143201828,1987.0,0.32589200139045715,582.3333129882812,0.46161118149757385,0.8219401836395264,0.4213367998600006,0.9828963279724121,0.9340101480484009,3,4727,,
,0.9883961081504822,3878.0,0.9886171221733093,4129.0,0.9694189429283142,3597.0,0.9932940602302551,12228.0,0.9913610219955444,6598.0,0.9657511115074158,2949.0,0.9896238446235657,3084.0,0.9860140085220337,1430.0,0.9900148510932922,12118.0,0.951083779335022,3414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944531917572021,9555.0,0.99234938621521,3137.0,0.9899535179138184,7963.0,0.9936376214027405,3615.0,0.9811161160469055,3548.0,0.986846923828125,5474.0,0.9972947835922241,9611.0,0.9937539100646973,4803.0,0.985183596611023,51632.0,0.9870041608810425,17621.0,0.9927283525466919,6601.0,0.9956319332122803,10302.0,0.9943685531616211,7103.0,0.9912096858024597,7167.0,0.9956643581390381,7150.0,0.986592173576355,6265.0,0.9881764650344849,4398.0,0.9932381510734558,13310.0,0.9844239950180054,55149.0,0.9840487241744995,14607.0,,,,,,3,4727,0.9877792596817017,0.951083779335022
0.6328920722007751,0.3264840245246887,146.0,0.3283475935459137,156.0,0.3088344633579254,149.6666717529297,0.32883843779563904,469.6666564941406,0.3295018970966339,232.0,0.3258306682109833,103.66666412353516,0.32264333963394165,114.33333587646484,0.3313252925872803,55.33333206176758,0.3298429250717163,445.6666564941406,0.3045685291290283,131.3333282470703,0.24238049983978271,692.6666870117188,0.16514615714550018,1790.3333740234375,0.2948191463947296,568.3333129882812,0.31962063908576965,3468.0,0.3003003001213074,296.0,0.30748483538627625,988.6666870117188,0.30832159519195557,1657.0,0.22025823593139648,886.3333129882812,0.3045751750469208,425.0,0.25486406683921814,862.3333129882812,0.3230971097946167,1270.0,0.31438368558883667,1231.3333740234375,0.17697642743587494,2403.333251953125,0.16168683767318726,1762.6666259765625,0.3114619553089142,2575.666748046875,0.24719274044036865,1444.6666259765625,0.2829183042049408,1271.6666259765625,0.3189932703971863,1518.6666259765625,0.16641570627689362,10626.0,0.16514937579631805,4247.33349609375,0.3323970139026642,356.0,0.33029380440711975,109.66666412353516,0.32872503995895386,289.3333435058594,0.3292079269886017,134.6666717529297,0.32421228289604187,134.0,0.3246612548828125,205.0,0.3320634961128235,350.0,0.3302238881587982,178.6666717529297,0.3277032971382141,1914.3333740234375,0.32939913868904114,621.3333129882812,0.3295550048351288,264.6666564941406,0.33033767342567444,408.0,0.33289703726768494,254.6666717529297,0.3333333432674408,257.3333435058594,0.33127063512802124,269.3333435058594,0.32802700996398926,230.3333282470703,0.32687339186668396,172.0,0.32615458965301514,464.3333435058594,0.24302411079406738,1987.0,0.3113909661769867,582.3333129882812,0.48506051301956177,0.8219688534736633,0.49543845653533936,0.9365912079811096,0.7290723323822021,4,5909,,
,0.9904590249061584,3878.0,0.9915233850479126,4129.0,0.9797053337097168,3597.0,0.9959927797317505,12228.0,0.9940891265869141,6598.0,0.9789759516716003,2949.0,0.9925421476364136,3084.0,0.9909090995788574,1430.0,0.9933157563209534,12118.0,0.9692443013191223,3414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954997301101685,9555.0,0.994899570941925,3137.0,0.99397212266922,7963.0,0.9975103735923767,3615.0,0.985343873500824,3548.0,0.9923273921012878,5474.0,0.9972947835922241,9611.0,0.9958359599113464,4803.0,0.9882436990737915,51632.0,0.9905226826667786,17621.0,0.991819441318512,6601.0,0.9980586171150208,10302.0,0.9959172010421753,7103.0,0.9938607215881348,7167.0,0.9958041906356812,7150.0,0.9896249175071716,6265.0,0.9909049272537231,4398.0,0.9941397309303284,13310.0,0.9867812395095825,55149.0,0.9883617162704468,14607.0,,,,,,4,5909,0.9907220005989075,0.9692443013191223
