train_loss,train_acc,epoch,step,test_loss,test_acc
2.041433572769165,0.2734375,0,49,,
2.028132677078247,0.30859375,0,99,,
1.8798116445541382,0.359375,0,149,,
,,0,195,1.6345125436782837,0.4643000066280365
1.8414608240127563,0.41796875,1,199,,
1.8307422399520874,0.40625,1,249,,
1.7854923009872437,0.4453125,1,299,,
1.7243670225143433,0.4609375,1,349,,
,,1,391,1.479183554649353,0.524399995803833
1.7096037864685059,0.43359375,2,399,,
1.7095351219177246,0.4609375,2,449,,
1.7683131694793701,0.44921875,2,499,,
1.690885305404663,0.453125,2,549,,
,,2,587,1.392699956893921,0.565500020980835
1.7112916707992554,0.5,3,599,,
1.715360403060913,0.51171875,3,649,,
1.6519017219543457,0.5234375,3,699,,
1.6870306730270386,0.46875,3,749,,
,,3,783,1.3319275379180908,0.5946999788284302
1.625563383102417,0.50390625,4,799,,
1.6418673992156982,0.51171875,4,849,,
1.6617119312286377,0.4921875,4,899,,
1.58148193359375,0.5234375,4,949,,
,,4,979,1.265159249305725,0.6162999868392944
1.616995930671692,0.5390625,5,999,,
1.5739164352416992,0.5234375,5,1049,,
1.4702465534210205,0.58984375,5,1099,,
1.6644095182418823,0.48046875,5,1149,,
,,5,1175,1.2397929430007935,0.6219000220298767
1.3722753524780273,0.63671875,6,1199,,
1.5054314136505127,0.5703125,6,1249,,
1.4399733543395996,0.5625,6,1299,,
1.4159889221191406,0.59765625,6,1349,,
,,6,1371,1.2053430080413818,0.6399000287055969
1.5299384593963623,0.54296875,7,1399,,
1.3918840885162354,0.625,7,1449,,
1.467474341392517,0.5546875,7,1499,,
1.4935266971588135,0.58984375,7,1549,,
,,7,1567,1.199430227279663,0.6331999897956848
1.4718749523162842,0.5859375,8,1599,,
1.5552324056625366,0.5703125,8,1649,,
1.3349366188049316,0.60546875,8,1699,,
1.4525483846664429,0.55859375,8,1749,,
,,8,1763,1.1614176034927368,0.6513000130653381
1.3188735246658325,0.64453125,9,1799,,
1.4334603548049927,0.59765625,9,1849,,
1.468233346939087,0.55078125,9,1899,,
1.3532625436782837,0.609375,9,1949,,
,,9,1959,1.1405686140060425,0.6549999713897705
1.3873311281204224,0.62109375,10,1999,,
1.339141607284546,0.62109375,10,2049,,
1.4110133647918701,0.625,10,2099,,
1.4409384727478027,0.61328125,10,2149,,
,,10,2155,1.1380025148391724,0.652999997138977
1.3947184085845947,0.62109375,11,2199,,
1.3232753276824951,0.62890625,11,2249,,
